reviewTitle	reviewText	reviewRating	reviewDate
468	Four Stars	They came a little dented but work fine.	4.0 out of 5 stars	on November 9, 2017
469	Not MERV 6	The product details says that this product has MERV 6 rating, but this is wrong.  This filter has a MERV 5 rating, as I found out when I actually opened the package and read, "MERV 5," on the actual filter.  The filter is the flimsiest, most wispy-looking filter I have ever bought for my furnace.  I do not trust it to filter anything out of the air, so I will not be using it.	2.0 out of 5 stars	on November 9, 2017
470	I got the correct size but they seem too thick ...	I got the correct size but they seem too thick for my intake ducts, so they’re mashed in there and they’re doing their job well!	3.0 out of 5 stars	on November 7, 2017
471	Five Stars	Works great.	5.0 out of 5 stars	on November 7, 2017
472	Ordered the wrong type but these will be fine.	My fault.  Ordered the wrong type but these will be fine.	4.0 out of 5 stars	on November 6, 2017
473	Five Stars	Have used this product for 9 years!	5.0 out of 5 stars	on November 6, 2017
474	Like the price	these work very well for our air conditioning vents in the office. Like the price, the fit and overall product.	5.0 out of 5 stars	on November 6, 2017
475	OFF SIZE FILTERS	These filters are about a half inch longer than the purolator filter they are replacing. They DO NOT slide in far enough to close the door on the filter chamber. I will NOT buy them again!	1.0 out of 5 stars	on November 4, 2017
476	good quality!	good quality!	5.0 out of 5 stars	on November 1, 2017
477	Five Stars	Great but works well	5.0 out of 5 stars	on November 1, 2017
478	They filter air	Has my life really turned into reviewing air filters? I mean, they were cheap and they fit. I don't have respiratory problems but idk if that's the filter or just genetics	5.0 out of 5 stars	on November 1, 2017
479	Very good Heat Filters Filters	These are excellent filters and Amazon offers them at a decent price. We have used them for years and have been VERY satisfied with them.	5.0 out of 5 stars	on October 31, 2017
480	Five Stars	Great buy!	5.0 out of 5 stars	on October 30, 2017
481	Four Stars	as advertised	4.0 out of 5 stars	on October 29, 2017
482	Five Stars	I’ve ordered these filters before. They work very well.	5.0 out of 5 stars	on October 28, 2017
483	Five Stars	Good quality filters	5.0 out of 5 stars	on October 27, 2017
484	GOOD FILTER FOR THE MONEY	Some of the reviews have been negative for these filters, but I took a chance because of the need for less expensive filters because where I live even the expensive ones load up fast. So I bought them and compared them to the filter I had and the measurements are the same. Being a little less on the MERV the HVAC does seem to work less to pull air through. So far the filter is getting about the same discard time, but way cheaper than I was paying. So I am happy with these filters.	5.0 out of 5 stars	on October 27, 2017
485	Not doing its job!	I just got someone to come in and clean my system and I've been using this for a year now, ordering it and changing it every month. But when the guy took out the system to clean, I nearly passed out! It was dusty, dirty and HORRIBLE! The guy said that is circulating back in our air and we are breathing this. The filter is not doing a dang thing! So not buying this anymore!	1.0 out of 5 stars	on October 27, 2017
486	Four Stars	thank you always again	4.0 out of 5 stars	on October 24, 2017
487	Five Stars	Perfect fit. Great  price!	5.0 out of 5 stars	on October 24, 2017
488	Five Stars	These were perfect and fit for good for 3 months each!  Great price.	5.0 out of 5 stars	on October 24, 2017
489	Five Stars	Great buy!	5.0 out of 5 stars	on October 23, 2017
490	Seems to work just fine.	Seems to work just fine.	5.0 out of 5 stars	on October 19, 2017
491	great value	fantastic value. now I don't have to worry about runing out	5.0 out of 5 stars	on October 17, 2017
492	One Star	The 1 inch depth was a bit over 1 inch.  It wouldn't fit into my furnace.	1.0 out of 5 stars	on October 17, 2017
493	Five Stars	Great!	5.0 out of 5 stars	on October 15, 2017
494	Five Stars	Good performance	5.0 out of 5 stars	on October 15, 2017
495	Great filter work very well	Great filter work very well	5.0 out of 5 stars	on October 14, 2017
496	Four Stars	Use them they work well	4.0 out of 5 stars	on October 13, 2017
497	Four Stars	what I needed	4.0 out of 5 stars	on October 10, 2017
498	Five Stars	as described	5.0 out of 5 stars	on October 9, 2017
499	Five Stars	perfect	5.0 out of 5 stars	on October 8, 2017
500	Five Stars	Get what you pay for	5.0 out of 5 stars	on October 8, 2017
501	Best Air Filters	Thank You, exactly what I was looking for	5.0 out of 5 stars	on October 7, 2017
502	What can I say about filters.	What can I say about filters. We got a new HVAC system so figured we would treat this one right	5.0 out of 5 stars	on October 6, 2017
503	Too thin and flimsy	Don't waste your money. These are thin and have to be changed every 10 to 15 days or the buckle up and it looks like it is being sucked into the duct work.	1.0 out of 5 stars	on October 6, 2017
504	Three Stars	a	3.0 out of 5 stars	on October 3, 2017
505	Five Stars	Good value.	5.0 out of 5 stars	on October 3, 2017
506	Good product, solid price	Im buying these all the time, its the right size for my vents and does good work. I have dogs so these filters need to be changed about every month, but they arent that expensive so its ok.	5.0 out of 5 stars	on October 3, 2017
507	Five Stars	thanks	5.0 out of 5 stars	on October 3, 2017
508	Five Stars	Just as described! fast shipper!	5.0 out of 5 stars	on October 2, 2017
509	great	Not expensive and gets the job done!  These have been keeping my central heating/air conditioning unit going for years.  I change them out about twice per year.	5.0 out of 5 stars	on October 2, 2017
510	Fits perfect	Needed replacements	5.0 out of 5 stars	on September 29, 2017
511	Four Stars	Came as expected and was the right size.	4.0 out of 5 stars	on September 28, 2017
512	Great Buy	Excellent price for this product. Quality filters	5.0 out of 5 stars	on September 28, 2017
513	Value	great filters at a value price	5.0 out of 5 stars	on September 27, 2017
514	Four Stars	Good product, though not as sturdy as the filters from Nordic Pure.  Good price, delivered as promised.	4.0 out of 5 stars	on September 27, 2017
515	Five Stars	Great filters, and excellent price when buying in bulk. I recommend!	5.0 out of 5 stars	on September 26, 2017
516	Five Stars	perfect	5.0 out of 5 stars	on September 25, 2017
517	Great deal	Seem to work just the same as other, more expensive filters.  Good bang for the buck.	5.0 out of 5 stars	on September 24, 2017
518	Four Stars	These worked well as air filtration during the smoky air summer in the Pacific Northwest.	4.0 out of 5 stars	on September 24, 2017
519	Arrived as described and is working great as far as I can tell	Arrived as described and is working great as far as I can tell.  Great price for buying in bulk.  Will order again.	5.0 out of 5 stars	on September 22, 2017
520	Favorite filters	Purchased for a rental property--will do the job	5.0 out of 5 stars	on September 19, 2017
521	Five Stars	Good price and quality.	5.0 out of 5 stars	on September 19, 2017
522	Five Stars	These seem to work better then any other..	5.0 out of 5 stars	on September 19, 2017
523	Five Stars	Work great, love the convinence of delivery	5.0 out of 5 stars	on September 17, 2017
524	Great deal	Great deal - compared to buying individually at Walmart.	5.0 out of 5 stars	on September 17, 2017
525	Does the job well	This is what it looks like after a month in my house. I dont have any pets. I think it gets this dirty becuase I constantly run the fan option.	5.0 out of 5 stars	on September 17, 2017
526	This is a very good buy, I shopped around and compared the prices ...	This is a very good buy, I shopped around and compared the prices from local stores, warehouses and Amazon, no one beats Amazon. I highly recommend it.	5.0 out of 5 stars	on September 16, 2017
527	Great for high dust and dander homes	Great for dusty homes.  Works much better than the normal filter	5.0 out of 5 stars	on September 15, 2017
528	NOT SATISFIED	Not the quality I was expecting, very light constructed. I change filters the 1st of each month, may have to change 2X a month with these... I should have purchased the bit more costly one. Will not order these again,	3.0 out of 5 stars	on September 13, 2017
529	Good value.	We go through two to three furnace filters a year. They are usually quite expensive. These seem to be of good quality, and were priced lower than those I've been buying.	5.0 out of 5 stars	on September 12, 2017
530	Five Stars	Perfect	5.0 out of 5 stars	on September 12, 2017
531	Five Stars	Great product at a good price.	5.0 out of 5 stars	on September 10, 2017
532	Disappointed	Disappointed actually.  They tend to be sucked into the air flow and it causes the filter to bend with the air flow. I worried about them being sucked into the system so I went back to the less expensive kind that are more rigid. Would not buy again	2.0 out of 5 stars	on September 10, 2017
533	Five Stars	good deal	5.0 out of 5 stars	on September 10, 2017
534	Grwat deal	Best deal on filters I have found. Good quality filters that cost alot at the store.	5.0 out of 5 stars	on September 9, 2017
535	Five Stars	good product.  fit easily	5.0 out of 5 stars	on September 8, 2017
536	They are very thin compared to other Filtrete filters we've ...	They are very thin compared to other Filtrete filters we've bought, I guess that is to be expected with a low price point.	3.0 out of 5 stars	on September 8, 2017
537	Low quality, nonuniform filter materials, would not recommend.	Surprised at the low quality of these filters. Like other reviewers have said, the consistency of the filter material is very nonuniform. There are parts that are almost translucent, while parts are thicker. The material is also very flimsy. I will not be buying these again.	2.0 out of 5 stars	on September 7, 2017
538	Two Stars	Product to soft ,it bend very easy	2.0 out of 5 stars	on September 5, 2017
539	Caused mold to form in vents	Horrible air filter!! Caused moisture build up and mold to seep out of my vents. Now have to pay someone to clean the mold!	1.0 out of 5 stars	on September 5, 2017
540	Five Stars	Excellent product.	5.0 out of 5 stars	on September 5, 2017
541	Working well so far.  These are a bit thin.	Working well so far.  These are a bit thin.  If you have pets may want to step it up to the next level.  The filters are a fair price.	4.0 out of 5 stars	on September 5, 2017
542	Four Stars	okay, what I expected.	4.0 out of 5 stars	on September 4, 2017
543	Waste of money	This filter does not fit the size advertised! Waste of money. The filters are too big for 24x24x1. I wish I could get my money back now.	1.0 out of 5 stars	on September 4, 2017
544	Does what it is suppose to do!	They work, cut down on dust, price was fair especially when size is hard to find 12x12x1 as I need to replace 4 at a time	5.0 out of 5 stars	on September 4, 2017
545	Brand quality at a great price.	Better than big box retail prices, which makes for less expensive replacement of disposable filters.	5.0 out of 5 stars	on September 3, 2017
546	Good Filter	Good filter and priced OK....2 months of normal use and you should change it.	4.0 out of 5 stars	on September 2, 2017
547	Five Stars	These work real well.	5.0 out of 5 stars	on September 2, 2017
548	Works as needed	Good	5.0 out of 5 stars	on September 1, 2017
549	Works	They work	4.0 out of 5 stars	on August 31, 2017
550	Five Stars	Great filters, great price! Reminds me, need to go change one out!	5.0 out of 5 stars	on August 31, 2017
551	Five Stars	Works good	5.0 out of 5 stars	on August 31, 2017
552	Happy Purchase	Great price!	5.0 out of 5 stars	on August 31, 2017
553	Great value	Great value and work fine.	5.0 out of 5 stars	on August 30, 2017
554	Five Stars	Perfect for what I needed and Lowes does not carry this size..	5.0 out of 5 stars	on August 29, 2017
555	Filters	Price was okay. Not sure they are working perfectly, but I'm not sneezing and blowing all over the place.	4.0 out of 5 stars	on August 29, 2017
556	Five Stars	greta price	5.0 out of 5 stars	on August 29, 2017
557	Do not expect what is pictured	The picture is very deceiving.  The specs match but the filters I received are the ones with cardboard edges and green middle that sell for $3 each. I unfortunately didn't to open and replace until after return policy.	1.0 out of 5 stars	on August 28, 2017
558	they are working good.	Size and filter rating received are correct as to what was ordered. they are working good.	4.0 out of 5 stars	on August 28, 2017
559	Clean Air.	Good product. Can always tell when one is replaced. The house air just seems cleaner.	4.0 out of 5 stars	on August 28, 2017
560	Four Stars	Works as described	4.0 out of 5 stars	on August 28, 2017
561	Five Stars	as advertised	5.0 out of 5 stars	on August 25, 2017
562	Do Not Buy.	I always use to buy 3M until I bought these files.Do not buy these filters.No air flow!!!	1.0 out of 5 stars	on August 25, 2017
563	Five Stars	Perfect for our rare sized vents. Can't find this size in stores easily.	5.0 out of 5 stars	on August 23, 2017
564	Five Stars	great price	5.0 out of 5 stars	on August 21, 2017
565	Five Stars	They work and fit well	5.0 out of 5 stars	on August 21, 2017
566	Five Stars	It does the job!!	5.0 out of 5 stars	on August 21, 2017
567	Very thin	Very thin. I expected more.	1.0 out of 5 stars	on August 20, 2017
568	Five Stars	the best-period!	5.0 out of 5 stars	on August 20, 2017
569	Came in excellent condition. Good buy will definitely order this again	Came in excellent condition . Good buy will definitely order this again.	5.0 out of 5 stars	on August 20, 2017
570	Five Stars	just want I needed	5.0 out of 5 stars	on August 18, 2017
571	I do recomend	Helped the dust problem in my house. I upgraded from the green filters.	5.0 out of 5 stars	on August 17, 2017
572	Five Stars	Work great as anticipated.	5.0 out of 5 stars	on August 17, 2017
573	Great savings	Great savings	5.0 out of 5 stars	on August 17, 2017
574	Five Stars	Clean air is good!	5.0 out of 5 stars	on August 16, 2017
575	... way you should then these are a must have great price, quality and fast shipping	If you change your filter the way you should then these are a must have great price, quality and fast shipping	5.0 out of 5 stars	on August 16, 2017
576	One Star	discarded.  cant use them	1.0 out of 5 stars	on August 15, 2017
577	Good filters, good price.	Quality filters at a good price.	5.0 out of 5 stars	on August 15, 2017
578	Four Stars	Used them before and works well.	4.0 out of 5 stars	on August 15, 2017
579	Excellent	As advertised.  Excellent	5.0 out of 5 stars	on August 15, 2017
580	Five Stars	Great filter	5.0 out of 5 stars	on August 14, 2017
581	Good Deal!	We change our filter every 30 days. Our oldest son has pretty nasty outdoor allergies & these help keep our home "clean" for him.	5.0 out of 5 stars	on August 14, 2017
582	Good	Does the job for the price	5.0 out of 5 stars	on August 14, 2017
583	Five Stars	great	5.0 out of 5 stars	on August 13, 2017
584	I would recommend. At a great price too	Seems to clean our air in our home very well.  I would recommend.  At a great price too!  Our air handler is a funny size, this is the first time I found a/c filters the right size to fit our air handler.  Now I don't have to cut an inch off with the scissors before I install, I LIKE THAT TOO!!  Thanks AMAZON, you make life easier!!	5.0 out of 5 stars	on August 12, 2017
585	Seem slightly too big.	I feel like these are too big. I have to jam them in. They are the same size as other filters I have bought.	2.0 out of 5 stars	on August 11, 2017
586	Five Stars	MY size is difficult to find in stores. These are quality filters.	5.0 out of 5 stars	on August 10, 2017
587	very	very good	5.0 out of 5 stars	on August 10, 2017
588	MERV vs. MPR vs. FPR	Initially I wasn't sure what MERV/MPR/FPR equated to, so here's what I found and what they do and how often you should change filters according to rating, low to high:MERV 6 / MPR 300 / FPR (n/a)Captures lint, household dust, pollen. Change every 30 days.MERV 8 / MPR 600 / FPR 5 (Green)Captures lint, household dust, pollen, dust mites, mold spores. Change every 90 days.MERV 11 / MPR 1000-1200 / FPR 7 (Red)Captures lint, household dust, pollen, dust mites, mold spores, smoke, smog, cough/sneezes, pet dander. Change every 90 days.MERV 13 / MPR 1500-1900 / FPR 10 (Blue)Captures lint, household dust, pollen, dust mites, mold spores, smoke, smog, cough/sneezes, pet dander, virus carriers, odors, bacteria. Change every 90 days.Note - the suggested time to change is just that - a suggestion. Some homes will need it more frequently depending on conditions. Just take a look at the filter every few weeks, and if it's dirty, change it.	4.0 out of 5 stars	on August 9, 2017
589	Cheaper than wally world	great deal.	5.0 out of 5 stars	on August 9, 2017
590	(The previous filter I bought at Home Depot easily was installed and removed) I bought these filters in ...	"Argghhhh!"  ...this word, and many other expletives, were mumbled as I forced these filters to fit into my air duct. (The previous filter I bought at Home Depot easily was installed and removed)  I bought these filters in bulk, at what was a great price...but then installed this one - and had to force the filter to fit into the duct. I am deeming my shipment as "irregulars" and now since too much time has passed to return them, I will have to mumble more expletives 5 more times until the bulk is finished!	1.0 out of 5 stars	on August 8, 2017
591	Four Stars	These filters work just fine.	4.0 out of 5 stars	on August 8, 2017
592	Five Stars	they are perfect	5.0 out of 5 stars	on August 7, 2017
593	One Star	I bought a pack of six and received a box with ONE filter inside! WTF?!?	1.0 out of 5 stars	on August 5, 2017
594	The price was good, but they are cheaply made	The price was good, but they are cheaply made. Next time I'm going to spend a few more bucks.	2.0 out of 5 stars	on August 5, 2017
595	Work as expected.	Work as expected.	5.0 out of 5 stars	on August 5, 2017
596	Five Stars	they work fine and its convenient to receive them at home.	5.0 out of 5 stars	on August 3, 2017
597	Five Stars	good buy	5.0 out of 5 stars	on August 2, 2017
598	Five Stars	They fit very well and appear to be working very well and advertised.	5.0 out of 5 stars	on August 2, 2017
599	Look elsewhere	These seem to stress my AC out. The AC has trouble keeping up when I have these in. I opted for a cheaper filter and it works much better. Not built for an AC trying to run in the Texas Summer.	1.0 out of 5 stars	on August 2, 2017
600	I just received these filters today~~they r horrible! Flimsy and all bowed and bent	I just received these filters today~~they r horrible! Flimsy and all bowed and bent!  Never again~I read reviews before buying and for the most part got good reviews~but I suggest you take the advice of the bad reviews~~~CHEAP CHEAP CHEAP~worse or as bad as the old blue flimsy ones! Very disappointed!!!	1.0 out of 5 stars	on August 1, 2017
601	Five Stars	Seems to work fine and quick shipping!	5.0 out of 5 stars	on August 1, 2017
602	Five Stars	Perfect	5.0 out of 5 stars	on August 1, 2017
603	Great value on a great product	Great value	5.0 out of 5 stars	on August 1, 2017
604	Five Stars	just as expected	5.0 out of 5 stars	on July 31, 2017
605	Good	Kind of thin but it does the job.	4.0 out of 5 stars	on July 30, 2017
606	Slightly too big, lived in this house for 11 ...	Slightly too big, lived in this house for 11 years buying different brand filters, never had a problem.  With these, I had to bend them to get them in correctly.  Won't buy again.	2.0 out of 5 stars	on July 29, 2017
607	Good filter	These filters are just as advertised. They are good and at a good price.	5.0 out of 5 stars	on July 29, 2017
608	Not the best quality, but definitely a good deal for the ...	Does exactly what they say it will. Not the best  quality, but definitely a good deal for the price.	4.0 out of 5 stars	on July 29, 2017
609	buy them	doing there jobs	5.0 out of 5 stars	on July 29, 2017
610	Five Stars	Great filter, great price	5.0 out of 5 stars	on July 28, 2017
611	Five Stars	Works great.	5.0 out of 5 stars	on July 28, 2017
612	One Star	wrong size	1.0 out of 5 stars	on July 28, 2017
613	Five Stars	Just what I wanted	5.0 out of 5 stars	on July 28, 2017
614	Good product. Competitive price.	Good product. Competitive price.	5.0 out of 5 stars	on July 28, 2017
615	Five Stars	GOOD	5.0 out of 5 stars	on July 27, 2017
616	I heartely recommend	gets all the allergens out of the air and lasts longer than flimsy filters. I heartely recommend	5.0 out of 5 stars	on July 26, 2017
617	Four Stars	as advertised	4.0 out of 5 stars	on July 25, 2017
618	Five Stars	<U+0001F44D>	5.0 out of 5 stars	on July 23, 2017
619	Big waste of $$	Do NOT buy this filter. I have had it in for 2 weeks and one side has completely caved in.They have made the construction of this filter without any of the reinforcement that all the other 3M filters have.Pure junk. Unfortunately I bought a 12 pack and will be changing them every 2 weeks until I use them up. Then I will never buy 3M again.Used the higher rated 3M filters for years but wanted to change them monthly for the summer months so decided to try this cheaper filter.DON'T do it. Big waste of $$ !!!	1.0 out of 5 stars	on July 23, 2017
620	Nice but pricey	These fit better than others but just too expensive.	4.0 out of 5 stars	on July 22, 2017
621	Five Stars	Just what I wanted.	5.0 out of 5 stars	on July 22, 2017
622	Perfect.	Perfect fit. Perfect price.	5.0 out of 5 stars	on July 21, 2017
623	Perfect	These were the perfect size, which I couldn't find in the store. We shall see how they do at filtering the air. They look a little flimsy, but they may filter great!	4.0 out of 5 stars	on July 21, 2017
624	GOOD	RIGHT SIZE, GOOD PRICE	5.0 out of 5 stars	on July 21, 2017
625	Great Deal	The price is a good deal	4.0 out of 5 stars	on July 21, 2017
626	Filters	Fits well  month supply	5.0 out of 5 stars	on July 21, 2017
627	Five Stars	The filters work great. I have much less dust in the air.	5.0 out of 5 stars	on July 21, 2017
628	great quality, quick service	As described, great quality, quick service.	5.0 out of 5 stars	on July 21, 2017
629	Happy	They work great, and a great price. Fit perfectly!	5.0 out of 5 stars	on July 21, 2017
630	Five Stars	Great replacements	5.0 out of 5 stars	on July 20, 2017
631	Amazing Deal.	Basic filter but fantastic fantastic deal. Bought for rental properties where tenants probably do not care to change filters regularly anyway.	5.0 out of 5 stars	on July 19, 2017
632	Five Stars	Works just as good as what's in store for half the price.	5.0 out of 5 stars	on July 18, 2017
633	Five Stars	Fits well	5.0 out of 5 stars	on July 17, 2017
634	Five Stars	nice	5.0 out of 5 stars	on July 14, 2017
635	Five Stars	Love this!	5.0 out of 5 stars	on July 13, 2017
636	Filter	See filter 300 and 1000 evaluation	3.0 out of 5 stars	on July 13, 2017
637	Five Stars	Exactly as described.	5.0 out of 5 stars	on July 12, 2017
638	Great value and fit as expected	Great value and fit as expected.  We have two air handlers in our house so this deal was a no brainer!	5.0 out of 5 stars	on July 12, 2017
639	Hard to use when they are crushed.	Five of the ten filters were crushed on arrival.Not happy at all.	1.0 out of 5 stars	on July 11, 2017
640	GREAT PRICE	GREAT PRICE, works perfect.	5.0 out of 5 stars	on July 8, 2017
641	Great Filters!	Great Filters!! Highly Recommend!	5.0 out of 5 stars	on June 20, 2017
642	They work great.	What.a great way to do these filters. They are good ones and I'm loving not having to go get them all the time.	5.0 out of 5 stars	on June 19, 2017
643	Why pay more when these work great!	Great Product, Reasonable Price!	5.0 out of 5 stars	on June 18, 2017
644	Best deal for the pack	Great price for the pack. Very happy.	5.0 out of 5 stars	on June 18, 2017
645	Five Stars	Met all criteria.	5.0 out of 5 stars	on June 16, 2017
646	Good filter	These fit well and delivery was quick!	5.0 out of 5 stars	on June 15, 2017
647	Works great	Filters fit perfectly, seem to filter the air better than the filters that I used before.	5.0 out of 5 stars	on June 15, 2017
648	Five Stars	It's an amazing product.. works well	5.0 out of 5 stars	on June 14, 2017
649	Five Stars	Great price! Work good and I don't have to go buy a new every month since they're in bulk!	5.0 out of 5 stars	on June 14, 2017
650	Good product	Good filter, and good price; cheaper than purchasing at hardware store individually.	5.0 out of 5 stars	on June 13, 2017
651	Work great!	Arrived on time. Work great!	5.0 out of 5 stars	on June 7, 2017
652	Good filter, good price.	Good filter, good price, and the 16" width is hard to find in stores. I order these regularly.	5.0 out of 5 stars	on June 6, 2017
653	Good purchase!	Good purchase!	5.0 out of 5 stars	on June 5, 2017
654	Three Stars	Arrived a little roughed up but will do.	3.0 out of 5 stars	on June 5, 2017
655	Great product, accidentally bought the wrong size	Great product, accidentally bought the wrong size...too lazy to send it back, but it works just fine for my situation.	5.0 out of 5 stars	on June 3, 2017
656	Five Stars	These work great	5.0 out of 5 stars	on June 2, 2017
657	Four Stars	good filters.	4.0 out of 5 stars	on June 1, 2017
658	Good price for these!	Works well, fits nicely in my air handler.  Sized well.	5.0 out of 5 stars	on May 31, 2017
659	Five Stars	Very nice... Fit like a glove.	5.0 out of 5 stars	on May 31, 2017
660	Five Stars	change your filter regularly and enjoy fresh air	5.0 out of 5 stars	on May 30, 2017
661	Five Stars	Met expectations	5.0 out of 5 stars	on May 27, 2017
662	Five Stars	PERFECT AS ADVERTISED	5.0 out of 5 stars	on May 27, 2017
663	As expected. We change our filters every 30 days ...	As expected.  We change our filters every 30 days.  Economical choice	5.0 out of 5 stars	on May 26, 2017
664	Five Stars	collects more dust than the others	5.0 out of 5 stars	on May 25, 2017
665	Great	Great value.	5.0 out of 5 stars	on May 24, 2017
666	Love	Excellent. Great deal!	5.0 out of 5 stars	on May 24, 2017
667	Merv 5 not Merv 7	The description said that these were Merv 7. But they are not merv 7. The package says they are Merv 5.	3.0 out of 5 stars	on May 24, 2017
668	Good deal	Works great.  Traps everything.  Good value - especially on the 6 pack.	5.0 out of 5 stars	on May 21, 2017
669	Four Stars	Works as Advertised	4.0 out of 5 stars	on May 21, 2017
670	good filters	they clean	5.0 out of 5 stars	on May 20, 2017
671	OH YEA!  Brand name filter at discounted prices.	Brand name filters at discounted price compared to hardware and large warehouse giants.	5.0 out of 5 stars	on May 20, 2017
672	Garbage filters	These are terrible quality filters, mine came with thin spots in the material	1.0 out of 5 stars	on May 19, 2017
673	Five Stars	The filters fit exactly and work as they should.  Thank you	5.0 out of 5 stars	on May 17, 2017
674	Fits perfectly	Fits perfectly.	5.0 out of 5 stars	on May 17, 2017
675	Good filters	I love buying furnace filters in bulk since changing the filter is usually way down my list of things I get excited about doing, so I never plan ahead and always end up changing them late.  Now I can just order a bunch and always have them on-hand.	5.0 out of 5 stars	on May 15, 2017
676	Ok	Ok	5.0 out of 5 stars	on May 14, 2017
677	Five Stars	so awesome	5.0 out of 5 stars	on May 13, 2017
678	Two Stars	the filters came to me damaged/ crushed I need a new set to replace the first set	2.0 out of 5 stars	on May 12, 2017
679	Would buy again!!!	Good quality, thanks!	5.0 out of 5 stars	on May 12, 2017
680	And a great	Just what i was looking for. And a great price	3.0 out of 5 stars	on May 11, 2017
681	This is not 16 x 25 x 1 -- does not fit furnace properly.	I bought these as a replacement to my furnace which takes 16 x 25 x 1. Compared to the previous filter, they are about half an inch longer and the filter door does not properly close on the furnace. I will not purchase these again.	1.0 out of 5 stars	on May 10, 2017
682	Bad Filter	These filters are bogus, they turned black after one day of use and you can see right through it. Argh..	1.0 out of 5 stars	on May 10, 2017
683	Good Filters	Bought these so I wouldn't have to keep running to the store to buy one at a time.  They work well.	5.0 out of 5 stars	on May 10, 2017
684	Poor quality	The product arrived damaged and the filters are thin.  Bad experience, will not buy again.  Waste of time dealing with it.	1.0 out of 5 stars	on May 10, 2017
685	Great Product	Great product and it works as advertised. No problems found.I would not hesitate to recommend  or purchase this item again.	5.0 out of 5 stars	on May 9, 2017
686	Ignore previous post	I appologize, Item was found, my mistake!  I guess I need more words here to make this post work.. very interesting	5.0 out of 5 stars	on May 9, 2017
687	Five Stars	will order again	5.0 out of 5 stars	on May 3, 2017
688	Five Stars	It was what I wanted	5.0 out of 5 stars	on May 3, 2017
689	Not worth it.	Flimsy and can clog the vent by the way it comes a part. Won't be buying again.	1.0 out of 5 stars	on May 3, 2017
690	Awsome!	Workes great!	5.0 out of 5 stars	on May 2, 2017
691	Perfect alternative	Change them 1-3 times a month for best results, I love the bulk pricing!	5.0 out of 5 stars	on May 1, 2017
692	Five Stars	Was a perfect fit!	5.0 out of 5 stars	on April 30, 2017
693	cheap material	Terrible quality - thin material, but blocks air flow.	1.0 out of 5 stars	on April 30, 2017
694	Great price	Great price	5.0 out of 5 stars	on April 29, 2017
695	Five Stars	Happy with this purchase	5.0 out of 5 stars	on April 29, 2017
696	Great deal!	Great deal!!!	5.0 out of 5 stars	on April 28, 2017
697	Works great for dust	Works great on getting dust out of my house and still allows plenty of air flow	5.0 out of 5 stars	on April 24, 2017
698	AC FILTER	Really sturdy and well made. A	5.0 out of 5 stars	on April 23, 2017
699	One Star	Not worth the money you paid.	1.0 out of 5 stars	on April 21, 2017
700	WYSIWYG	Just as listed	5.0 out of 5 stars	on April 19, 2017
701	Five Stars	Great price! Received as promised within 2 days. Very happy with purchase!	5.0 out of 5 stars	on April 17, 2017
702	Great value.	Great value. Change filters often and ensure they fit tightly. Bad filtration can lead towards heat ex-changer failure; an expensive fix!	5.0 out of 5 stars	on April 17, 2017
703	Waste of money	This filter doesn't let enough air through.  After I replaced the filter, my AC is working harder and the unit is getting warmer.  Going to buy a new filter and throw this out.  Waste of money.	1.0 out of 5 stars	on April 17, 2017
704	Five Stars	great filters	5.0 out of 5 stars	on April 16, 2017
705	Quality has declined	The quality of these filters has declined. They tend to collapse before they are dirty or reach the recommended length of time for replacement.	1.0 out of 5 stars	on April 12, 2017
706	Five Stars	Excellent replacement filters.	5.0 out of 5 stars	on April 12, 2017
707	Five Stars	Good prices	5.0 out of 5 stars	on April 9, 2017
708	Great	Great basic filter	5.0 out of 5 stars	on April 9, 2017
709	Five Stars	Great price and service!	5.0 out of 5 stars	on April 9, 2017
710	Works great!!	Fit perfectly.  Works great!!!	5.0 out of 5 stars	on April 3, 2017
711	Five Stars	great!	5.0 out of 5 stars	on April 3, 2017
712	Five Stars	Love it!	5.0 out of 5 stars	on April 2, 2017
713	Five Stars	Great product, I will order this product again.	5.0 out of 5 stars	on April 1, 2017
714	Five Stars	Perfect fit and just the right price...	5.0 out of 5 stars	on April 1, 2017
715	Five Stars	Good	5.0 out of 5 stars	on April 1, 2017
716	Two Stars	Cheapo	2.0 out of 5 stars	on March 30, 2017
717	Great!	Great!	5.0 out of 5 stars	on March 30, 2017
718	Five Stars	Great Deal...and they work just fine.	5.0 out of 5 stars	on March 29, 2017
719	Never had any problems with these. Inexpensive filters allow for more frequent replacement.	Second time for purchasing these - they work fine for me and are much less expensive than the ones form the hardware store. Personally I've found cleaning and replacing the filter more frequently is more effective than buying a more expensive filter. These seem to be the perfect balance of airflow vs filtering for our home, which includes multiple animals (and at least one person) who shed a good bit of hair which shows up in clumps in these filters. Dust level is manageable, and allergies issues are minimal.	5.0 out of 5 stars	on March 29, 2017
720	the ones delivered are great. In the six-pack it ended up being cheaper ...	Fits well. Sturdier too. I don't know why some reviewers are getting low-quality filters, the ones delivered are great. In the six-pack it ended up being cheaper per filter than if I bought them individually at the home improvement store.	5.0 out of 5 stars	on March 28, 2017
721	One Star	real cheap , would not buy it again	1.0 out of 5 stars	on March 28, 2017
